theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
22.00000000,-45.00000000,38.36408260,1.74382194,0.00000000
23.00000000,-45.00000000,38.27887962,1.66429911,0.00000000
24.00000000,-45.00000000,38.20870112,1.59202921,0.00000000
25.00000000,-45.00000000,38.15541319,1.52621653,0.00000000
26.00000000,-45.00000000,38.12106500,1.46619481,0.00000000
27.00000000,-45.00000000,38.10790046,1.41140372,0.00000000
28.00000000,-45.00000000,38.11836841,1.36137030,0.00000000
29.00000000,-45.00000000,38.15513035,1.31569415,0.00000000
30.00000000,-45.00000000,38.22106453,1.27403548,0.00000000
31.00000000,-45.00000000,38.31926485,1.23610532,0.00000000
32.00000000,-45.00000000,38.45303267,1.20165727,0.00000000
33.00000000,-45.00000000,38.62585938,1.17048059,0.00000000
34.00000000,-45.00000000,38.84139683,1.14239402,0.00000000
